URI	code	Label (English)	Label (French)
http://id.loc.gov/vocabulary/iso639-5/nah	nah	Nahuatl languages	nahuatl, langues
http://id.loc.gov/vocabulary/iso639-5/nai	nai	North American Indian languages	nord-amérindiennes, langues
http://id.loc.gov/vocabulary/iso639-5/ngf	ngf	Trans-New Guinea languages	trans-nouvelle-guinée, langues
http://id.loc.gov/vocabulary/iso639-5/nic	nic	Niger-Kordofanian languages	nigéro-kordofaniennes, langues
http://id.loc.gov/vocabulary/iso639-5/nub	nub	Nubian languages	nubiennes, langues
http://id.loc.gov/vocabulary/iso639-5/omq	omq	Oto-Manguean languages	otomangue, langues
http://id.loc.gov/vocabulary/iso639-5/omv	omv	Omotic languages	omotiques, langues
http://id.loc.gov/vocabulary/iso639-5/oto	oto	Otomian languages	otomi, langues
http://id.loc.gov/vocabulary/iso639-5/paa	paa	Papuan languages	papoues, langues
http://id.loc.gov/vocabulary/iso639-5/phi	phi	Philippine languages	philippines, langues
http://id.loc.gov/vocabulary/iso639-5/plf	plf	Central Malayo-Polynesian languages	malayo-polynésiennes centrales, langues
http://id.loc.gov/vocabulary/iso639-5/poz	poz	Malayo-Polynesian languages	malayo-polynésiennes, langues
http://id.loc.gov/vocabulary/iso639-5/pqe	pqe	Eastern Malayo-Polynesian languages	malayo-polynésiennes orientales, langues
http://id.loc.gov/vocabulary/iso639-5/pqw	pqw	Western Malayo-Polynesian languages	malayo-polynésiennes occidentales, langues
http://id.loc.gov/vocabulary/iso639-5/pra	pra	Prakrit languages	prâkrit, langues
http://id.loc.gov/vocabulary/iso639-5/qwe	qwe	Quechuan (family)	quechua (famille)
http://id.loc.gov/vocabulary/iso639-5/roa	roa	Romance languages	romanes, langues
http://id.loc.gov/vocabulary/iso639-5/sai	sai	South American Indian languages	sud-amérindiennes, langues
http://id.loc.gov/vocabulary/iso639-5/sal	sal	Salishan languages	salishennes, langues
http://id.loc.gov/vocabulary/iso639-5/sdv	sdv	Eastern Sudanic languages	soudaniques orientales, langues
http://id.loc.gov/vocabulary/iso639-5/sem	sem	Semitic languages	sémitiques, langues
http://id.loc.gov/vocabulary/iso639-5/sgn	sgn	sign languages	langues des signes
http://id.loc.gov/vocabulary/iso639-5/sio	sio	Siouan languages	sioux, langues
http://id.loc.gov/vocabulary/iso639-5/sit	sit	Sino-Tibetan languages	sino-tibétaines, langues
http://id.loc.gov/vocabulary/iso639-5/sla	sla	Slavic languages	slaves, langues
http://id.loc.gov/vocabulary/iso639-5/smi	smi	Sami languages	sames, langues
http://id.loc.gov/vocabulary/iso639-5/son	son	Songhai languages	songhai, langues
http://id.loc.gov/vocabulary/iso639-5/sqj	sqj	Albanian languages	albanaises, langues
http://id.loc.gov/vocabulary/iso639-5/ssa	ssa	Nilo-Saharan languages	nilo-sahariennes, langues
http://id.loc.gov/vocabulary/iso639-5/syd	syd	Samoyedic languages	samoyèdes, langues
http://id.loc.gov/vocabulary/iso639-5/tai	tai	Tai languages	tai, langues
http://id.loc.gov/vocabulary/iso639-5/tbq	tbq	Tibeto-Burman languages	tibéto-birmanes, langues
http://id.loc.gov/vocabulary/iso639-5/trk	trk	Turkic languages	turques, langues
http://id.loc.gov/vocabulary/iso639-5/tup	tup	Tupi languages	tupi, langues
http://id.loc.gov/vocabulary/iso639-5/tut	tut	Altaic languages	altaïques, langues
http://id.loc.gov/vocabulary/iso639-5/tuw	tuw	Tungus languages	toungouses, langues
http://id.loc.gov/vocabulary/iso639-5/urj	urj	Uralic languages	ouraliennes, langues
http://id.loc.gov/vocabulary/iso639-5/wak	wak	Wakashan languages	wakashanes, langues
http://id.loc.gov/vocabulary/iso639-5/wen	wen	Sorbian languages	sorabes, langues
http://id.loc.gov/vocabulary/iso639-5/xgn	xgn	Mongolian languages	mongoles, langues
http://id.loc.gov/vocabulary/iso639-5/xnd	xnd	Na-Dene languages	na-déné, langues
http://id.loc.gov/vocabulary/iso639-5/ypk	ypk	Yupik languages	yupik, langues
http://id.loc.gov/vocabulary/iso639-5/zhx	zhx	Chinese (family)	chinois (famille)
http://id.loc.gov/vocabulary/iso639-5/zle	zle	East Slavic languages	slaves orientales, langues
http://id.loc.gov/vocabulary/iso639-5/zls	zls	South Slavic languages	slaves méridionales, langues
http://id.loc.gov/vocabulary/iso639-5/zlw	zlw	West Slavic languages	slaves occidentales, langues
http://id.loc.gov/vocabulary/iso639-5/znd	znd	Zande languages	zandé, langues
